characters-href,Image-src,name,Nationality,Ethnicity,Age,Born,Died,Eye color,Hair color,Skin color,Gender,Love interest,Allies,Enemies,Weapon of choice,Fighting styles,Profession,Position,Predecessor,Successor,Affiliation,First appearance,Last appearance,Voiced by
"https://avatar.fandom.com/wiki/Wu","https://static.wikia.nocookie.net/avatar/images/0/0e/King_Wu.png/revision/latest?cb=20141220142035","Wu","Earth Kingdom","Earth Kingdom","","","","Olive green","Dark brown","Brown","Man","","Team Avatar","Earth Empire","","","","Earth King","Hou-Ting (as Earth Monarch)","Plans to abolish the monarchy","Earth Kingdom","""After All These Years""","","Sunil Malhotra"
"https://avatar.fandom.com/wiki/Wong","","Wong","Earth Kingdom","Earth Kingdom","30s in The Rise of Kyoshi and The Shadow of Kyoshi[2]","Sometime in 336—326 BG[2]","","","","","Man","","Flying Opera Company","Jianzhu","Earth","","Earthbending instructor to Avatar KyoshiDaofei","","Jianzhu (as the Avatar's earthbending master)","Sud (as the Avatar's earthbending master)","","""The Introduction""","",""
"https://avatar.fandom.com/wiki/Won-Yee","https://static.wikia.nocookie.net/avatar/images/e/e3/Won-Yee.png/revision/latest?cb=20200802175820","Won-Yee","Ba Sing Se, Earth Kingdom","Earth Kingdom","","","","","","White","Woman","","Aang","","","","","","","","Air Acolytes","The Promise Part Two","",""
"https://avatar.fandom.com/wiki/Wo","","Wo","Ba Sing Se, Earth Kingdom","Earth Kingdom","","","","","","","Man","","Ba Sing Se peace officers","Avatar","","","Official","","","","","""Unfinished Business"" (mentioned only)","",""
"https://avatar.fandom.com/wiki/Willow","","Willow","Earth Kingdom","Earth Kingdom","","","","","","","Woman","","","","","","Earth Sage (formerly)Grand Lector","Royal Learning Halls","","","Earth Kingdom","Avatar Legends: The Roleplaying Game - Core Book (only appearance)","",""
"https://avatar.fandom.com/wiki/Wen","https://static.wikia.nocookie.net/avatar/images/7/73/Wen.png/revision/latest?cb=20230613194256","Wen","Ba Sing Se, Earth Kingdom","","","","","Dark brown","Dark brown","Light","Non-binary[2][nb 1]","","Suki","Kiwaq","","","Archaeologist","","","","","Avatar: Generations (only appearance)","",""
"https://avatar.fandom.com/wiki/Wei_Jin","https://static.wikia.nocookie.net/avatar/images/2/27/Wei_Jin.png/revision/latest?cb=20131202204031","Wei Jin","Earth Kingdom","Zhang","","","","","Brown","","Man","","","Jin Wei","","","","","","","","""The Great Divide"" (flashback only) (only appearance)","",""
"https://avatar.fandom.com/wiki/Wei_and_Wing","https://static.wikia.nocookie.net/avatar/images/4/47/Wei_and_Wing.png/revision/latest?cb=20140726184315","Wei and Wing","Zaofu, Earth Kingdom","Earth Kingdom","","","","Olive green","Black","Light tan","Men","","Metal Clan","Red Lotus","Earth, metal","","Athletes","","","","Beifong family","""The Metal Clan""","","Marcus Toji"
"https://avatar.fandom.com/wiki/Wai","","Wai","Earth Kingdom","","","","","","","","Man","","Xu Ping An","Jianzhu","","","Daofei","","","","Yellow Necks","""The Town""","",""
"https://avatar.fandom.com/wiki/Unnamed_Earth_Kingdom_boys","https://static.wikia.nocookie.net/avatar/images/5/5f/Earth_Kingdom_boys.png/revision/latest?cb=20121231082431","Unnamed Earth Kingdom boys","Earth Kingdom","","","","","","Brown","","Men","","","Katara","","","","","","","","""Water War"" (only appearance)","",""
"https://avatar.fandom.com/wiki/Ume","","Ume","Earth Kingdom","Earth Kingdom","","","","","","","Woman","","","","","","InventorArchitect","","","","","Adventure Booklet 4: Air & Wind (only appearance)","",""
"https://avatar.fandom.com/wiki/Tyro","https://static.wikia.nocookie.net/avatar/images/8/88/Tyro_during_the_invasion.png/revision/latest?cb=20130609164844","Tyro","Mining village, Earth Kingdom","Earth Kingdom","","","","Green","White","Light","Man","His wife","Team Avatar","Fire Nation","Earth","","","","","","","""Imprisoned""","","Kevin Michael Richardson"
"https://avatar.fandom.com/wiki/Tycho","https://static.wikia.nocookie.net/avatar/images/5/57/Tycho.png/revision/latest?cb=20140504183007","Tycho","Ba Sing Se, Earth Kingdom","Earth Kingdom","","","","","Black","","Man","","Iroh","","Knife","","","","","","","""City of Walls and Secrets""","","Quinton Flynn"
"https://avatar.fandom.com/wiki/Tuyen","https://static.wikia.nocookie.net/avatar/images/f/f2/Tuyen.png/revision/latest?cb=20150408121312","Tuyen","Earth Kingdom","Earth Kingdom","","","","Brown","Dark brown","","Woman","","Meelo","","","","Flower seller","","","","","""The Calling"" (only appearance)","","Caitlin Carmichael"
"https://avatar.fandom.com/wiki/Tu_(criminal)","https://static.wikia.nocookie.net/avatar/images/4/47/Tu_%28criminal%29.png/revision/latest?cb=20201015204314","","Earth Kingdom","","","","","Light brown","Brown","Light","Man","","Jiang","","","","Criminal","","","","","Katara and the Pirate's Silver (only appearance)","",""
"https://avatar.fandom.com/wiki/Tu","https://static.wikia.nocookie.net/avatar/images/9/98/Tu.png/revision/latest?cb=20140730174617","Tu","Ba Sing Se, Earth Kingdom","Earth Kingdom","","","","","Black","","Man","","Wu","Earth Empire","Earth","","Fruit store vendor","","","","","""The Earth Queen""","","Greg Cipes"
"https://avatar.fandom.com/wiki/Toph_Beifong_(games)","https://static.wikia.nocookie.net/avatar/images/d/d0/Toph_Beifong_%28games%29.png/revision/latest?cb=20140819102901","","Earth Kingdom","","12","","","","Black","","Woman","","Team Avatar","Fire Nation","Earth","","Earthbending instructor","","","","","Avatar: The Last Airbender – The Burning Earth","","Jessie Flower"
"https://avatar.fandom.com/wiki/Toph_Beifong","https://static.wikia.nocookie.net/avatar/images/4/46/Toph_Beifong.png/revision/latest?cb=20131230122047","Toph Beifong","Gaoling, Earth Kingdom","Earth Kingdom","12 in Avatar: The Last Airbender[8]13-14 in The Promise trilogy[9]14-15 in The Search and The Rift trilogies[10]86 in Book Four: Balance of The Legend of Korra[11]","88 AG","","Sea foam green (glazed over)","Black (white in old age)","Light","Woman","Kanto (father of Lin; formerly)Satoru (formerly)Sokka (formerly)[12]","Team Avatar","Ozai","Earth, metal","(Chu Gar Praying Mantis)","Earthbending instructorMetalbending instructorOwner of the Beifong Metalbending AcademyPolice officer (formerly)[13]Politician (formerly)[14]Professional earthbending fighter (formerly)","The Runaway (逃犯)[5] (while in Fire Fountain City)","Sud (as the Avatar's earthbending master)","","Beifong family","""The Swamp"" (vision)","","Jessie Flower (in Avatar: The Last Airbender)Kate Higgins (in Books One and Three of The Legend of Korra)Philece Sampler (in Book Four: Balance of The Legend of Korra)"
"https://avatar.fandom.com/wiki/Tong","https://static.wikia.nocookie.net/avatar/images/2/20/Tong.png/revision/latest?cb=20140215112603","Tong","Chin Village, Earth Kingdom","Earth Kingdom","","","","","Black","","Man","","Aang","Fire Nation","","","Chin Village leader","","","","","""Avatar Day"" (only appearance)","","James Hong"
"https://avatar.fandom.com/wiki/Ticket_woman","https://static.wikia.nocookie.net/avatar/images/c/c0/Ticket_woman.png/revision/latest?cb=20140417221543","Ticket woman","Earth Kingdom","Earth Kingdom","","","","","Black","","Woman","","","Fire Nation","","","Monorail ticket checker","","","","","""The Drill"" (only appearance)","","Roberta Farkas"
"https://avatar.fandom.com/wiki/Than%27s_sister","https://static.wikia.nocookie.net/avatar/images/1/16/Than%27s_sister.png/revision/latest?cb=20140413234453","Than's sister","Earth Kingdom","","","","","","Brown","","Woman","","Team Avatar","Fire Nation","","","","","","","","""The Serpent's Pass""","",""
"https://avatar.fandom.com/wiki/Than","https://static.wikia.nocookie.net/avatar/images/8/85/Than.png/revision/latest?cb=20140413234452","Than","Earth Kingdom","","","","","","Black","","Man","Ying (wife)","Team Avatar","Fire Nation","","","","","","","","""Zuko Alone""","","Brian Tochi"
"https://avatar.fandom.com/wiki/Teo","https://static.wikia.nocookie.net/avatar/images/7/77/Teo.png/revision/latest?cb=20140118125457","Teo","Earth Kingdom","Earth Kingdom","13[2]","87 AG","","","Black","","Man","","Team Avatar","Fire Nation","","","","","","","","""The Northern Air Temple""","","Daniel Samonas"
"https://avatar.fandom.com/wiki/Te_Sihung","","Te Sihung","Earth Kingdom","Earth Kingdom","14 in The Rise of Kyoshi[1]15 in The Shadow of Kyoshi[2]","310 BG","","","","","Man","","Jianzhu","Lao Ge","","","Official","","His father (as governor in the Eastern Provinces)","","Earth Kingdom","""The Raid"" (only appearance)","",""
"https://avatar.fandom.com/wiki/Suzu","https://static.wikia.nocookie.net/avatar/images/1/18/Suzu.png/revision/latest?cb=20230419113828","Suzu","Yokoya, Earth Kingdom","Yokoyan","","c. 312 BG","","","","","Woman","","Aoma","Kyoshi","Earth","","Farmer","","","","","""The Test""","",""
"https://avatar.fandom.com/wiki/Suyin%27s_chef","https://static.wikia.nocookie.net/avatar/images/e/e5/Chef.png/revision/latest?cb=20140722002237","Suyin's chef","Earth Kingdom","Earth Kingdom","","","","","Black","","Man","","Metal Clan","","","","ChefPirate (formerly)","","","","","""The Metal Clan""","","Maurice LaMarche"
"https://avatar.fandom.com/wiki/Suyin_Beifong","https://static.wikia.nocookie.net/avatar/images/2/26/Suyin.png/revision/latest?cb=20140814083841","Suyin Beifong","Republic City, United Republic","Earth Kingdom","45 in Book Three: Change[2]48 in Book Four: Balance[3]","126 AG","","Pistachio green","Black (gray in middle age)","Olive","Woman","Baatar (husband)","Team Avatar","Aiwei","Earth, metal","(Hung Gar and Chu Gar Praying Mantis)","DancerMetalbending instructor","Earthbending master","","Kuvira (shortly as leader of Zaofu in 174 AG)","Beifong family","""The Metal Clan""","","Anne HecheJessie Flower (young Suyin)"
"https://avatar.fandom.com/wiki/Sung","https://static.wikia.nocookie.net/avatar/images/a/ad/Sung.png/revision/latest?cb=20140517113730","Sung","Ba Sing Se, Earth Kingdom","Earth Kingdom","","","","","Black","","Man","","Earth King","Fire Nation","Earth","","Earth Kingdom general","","","","","""The Drill""","","Barry Dennen"
"https://avatar.fandom.com/wiki/Suki","https://static.wikia.nocookie.net/avatar/images/1/14/Suki.png/revision/latest?cb=20130819094354","Suki","Suki's village, Earth Kingdom","Kyoshi Islander","","","","Blue","Auburn","Light","Woman","Sokka (boyfriend)","Kyoshi Warriors","Ozai","War fans, katana","","Kyoshi Warrior","Member of Team Avatar","","","Earth Kingdom","""The Warriors of Kyoshi""","","Jennie Kwan"
"https://avatar.fandom.com/wiki/Sud","https://static.wikia.nocookie.net/avatar/images/d/d1/Sud.png/revision/latest?cb=20130110111840","Sud","Earth Kingdom","","","","","","Brown","","Man","","Roku","","Earth","","Earthbending instructor","","Wong and Lek (as the Avatar's earthbending master)","Toph Beifong (as the Avatar's earthbending master)","","""The Avatar and the Fire Lord"" (flashback only)","",""
"https://avatar.fandom.com/wiki/Storyteller","https://static.wikia.nocookie.net/avatar/images/f/f5/Storyteller.png/revision/latest?cb=20140117221706","Storyteller","Earth Kingdom","Earth Kingdom","","","","","Gray","","Man","","Momo","","","","Storyteller","","","","","""The Northern Air Temple"" (only appearance)","","Clyde Kusatsu"
"https://avatar.fandom.com/wiki/Star","https://static.wikia.nocookie.net/avatar/images/2/2e/Star.png/revision/latest?cb=20140504183001","Star","Ba Sing Se, Earth Kingdom","Earth Kingdom","","","","","Brown","","Woman","","","Katara","","","","","","","","""The Tales of Ba Sing Se"" (only appearance)","",""
"https://avatar.fandom.com/wiki/Soonjei","https://static.wikia.nocookie.net/avatar/images/b/b3/Soonjei.png/revision/latest?cb=20170523214916","Soonjei","Earth Kingdom","Earth Kingdom","","","","","Gray (beard)","Light","Man","","Hakoda","Gilak","Earth","","Construction worker","","","","","North and South Part One","",""
"https://avatar.fandom.com/wiki/Song%27s_mother","https://static.wikia.nocookie.net/avatar/images/8/86/Song%27s_mother.png/revision/latest?cb=20140128110440","Song's mother","Farming village, Earth Kingdom","Earth Kingdom","","","","","Gray","","Woman","Her husband","Zuko","Fire Nation","","","","","","","","""The Cave of Two Lovers"" (only appearance)","","Barbara Goodson"
"https://avatar.fandom.com/wiki/Song_(villager)","https://static.wikia.nocookie.net/avatar/images/7/7e/Song.png/revision/latest?cb=20140128110439","","Farming village, Earth Kingdom","Earth Kingdom","","","","Brown","Brown","","Woman","Zuko (as Lee; formerly)[2]","Iroh","Fire Nation","","","Nurse","","","","","""The Cave of Two Lovers"" (only appearance)","","Kim Mai Guest"
"https://avatar.fandom.com/wiki/Sneers","https://static.wikia.nocookie.net/avatar/images/6/65/Sneers.png/revision/latest?cb=20200728155533","Sneers","Earth Kingdom","Earth Kingdom","","","","","Brown","","Man","Kori Morishita (girlfriend)","Freedom Fighters","","Axes","","Freedom Fighter (formerly)","Yu Dao Resistance (formerly)","","","Earth Kingdom","""Jet""","",""
"https://avatar.fandom.com/wiki/Smellerbee","https://static.wikia.nocookie.net/avatar/images/3/3a/Smellerbee.png/revision/latest?cb=20140413234450","Smellerbee","Earth Kingdom","Earth Kingdom","","","","Black","Brown","","Woman","","Freedom Fighters","Fire Nation","Swords, daggers, knives","","Freedom Fighter","","Jet (as leader of the Freedom Fighters)","","Earth Kingdom","""Jet""","","Nika Futterman"
"https://avatar.fandom.com/wiki/Sidao","","Sidao","Nanyan, Earth Kingdom","Earth Kingdom","","","Year 17 of the era of Yangchen","","","","Man","","Shang merchants","","","","Earth Sage","","","","Earth Sages","""The Parade""","",""
"https://avatar.fandom.com/wiki/Shu","https://static.wikia.nocookie.net/avatar/images/3/33/Oma_and_Shu.png/revision/latest?cb=20140128110438","Shu","","","","","","","Black","","Man","Oma (girlfriend)","badgermoles","","Earth","","","","","","","""The Cave of Two Lovers"" (flashback only) (only appearance)","",""
"https://avatar.fandom.com/wiki/Shing","","Shing","Gintong Province, Earth Kingdom","Earth Kingdom","40s in The Shadow of Kyoshi[1]","Sometime between 345—335 BG [1]","","","","","Man","","Lu Beifong","","","","Earth Sage","","","","","""The Performance"" (only appearance)","",""
"https://avatar.fandom.com/wiki/Shihan","","Shihan","Earth Kingdom","Earth Kingdom","40s by 174 AG[1]","124-134 AG","","","","","Woman","","Wu","","","","Lecturer","","","","Republic City University","Avatar Legends: The Roleplaying Game - Republic City (only appearance)","",""
"https://avatar.fandom.com/wiki/Sheng","https://static.wikia.nocookie.net/avatar/images/a/ae/Sheng.png/revision/latest?cb=20200126005556","Sheng","Earth Kingdom","","","","","Black","Black","Light tan","Woman","","Earth Empire","Kuvira","","","Scientist","","","","","Ruins of the Empire Part One","",""
"https://avatar.fandom.com/wiki/Shaw","","Shaw","Ba Sing Se, Earth Kingdom","Earth Kingdom","","","","","","","Man","","Ba Sing Se University","","","","Zoology professor","","","","","""Obligations"" (only appearance)","",""
"https://avatar.fandom.com/wiki/Sha-Mo","https://static.wikia.nocookie.net/avatar/images/6/69/Si_Wong_tribes.png/revision/latest?cb=20130625081236","Sha-Mo","Si Wong Desert, Earth Kingdom","Si Wong","","","","","Brown","","Man","Yulduz (wife; deceased)","","Fire Nation","Sand","","","","","","","""The Desert"" (only appearance)","","Bill Bolender"
"https://avatar.fandom.com/wiki/Sensu","","Sensu","Plains village, Earth Kingdom","Earth Kingdom","","","","","Brown","","Man","","","Fire Nation","","","Soldier","","","","","""Zuko Alone"" (mentioned only) (only mention)","",""
"https://avatar.fandom.com/wiki/Sensitive_ruffian","https://static.wikia.nocookie.net/avatar/images/1/1e/Sensitive_ruffian.png/revision/latest?cb=20140215112603","Sensitive ruffian","Chin Village, Earth Kingdom","Earth Kingdom","","","","","White (bald)","","Man","","Aang","Tong","","","","","","","","""Avatar Day"" (only appearance)","","Andre Ware"
"https://avatar.fandom.com/wiki/Senlin_Village_leader","https://static.wikia.nocookie.net/avatar/images/d/d0/Senlin_Village_leader.png/revision/latest?cb=20130620132536","Senlin Village leader","Senlin Village, Earth Kingdom","Earth Kingdom","","","","Dark","Black","Pale","Man","","Team Avatar","Fire Nation","","","","","","","","""Winter Solstice, Part 1: The Spirit World""","","Mike Hagiwara"
"https://avatar.fandom.com/wiki/Sela","https://static.wikia.nocookie.net/avatar/images/5/5c/Sela.png/revision/latest?cb=20140331143654","Sela","Plains village, Earth Kingdom","Earth Kingdom","","","","","Black","","Woman","Gansu (husband)","","Fire Nation","","","Farmer","","","","","""Zuko Alone"" (only appearance)","","Susan Eisenberg"
"https://avatar.fandom.com/wiki/Scary_prisoner","https://static.wikia.nocookie.net/avatar/images/9/97/Scary_prisoner.png/revision/latest?cb=20140215112602","Scary prisoner","Chin Village, Earth Kingdom","Earth Kingdom","","","","","None","","Man","","Aang","Tong","","","","","","","","""Avatar Day"" (only appearance)","","Jason Miller"
"https://avatar.fandom.com/wiki/Sarnai","","Sarnai","Ba Sing Se, Earth Kingdom","Earth Kingdom","","","","","","","Man","","Tao","","Polestaff","","Criminal (formerly)","","","","","Adventure Booklet 1: Earth & Root (only appearance)","",""
"https://avatar.fandom.com/wiki/San_Ho","","San Ho","Earth Kingdom","Earth Kingdom","","","","","","","Man","","Terra Triad","Varrick","","","BusinessmanInventor","","","","","Adventure Booklet 5: Water & Mist (only appearance)","",""
"https://avatar.fandom.com/wiki/San","https://static.wikia.nocookie.net/avatar/images/1/11/Mako_and_Bolin%27s_family_picture.png/revision/latest?cb=20201122131351","San","Ba Sing Se, Earth Kingdom","Earth Kingdom","","","160 AG","","Black","","Man","Naoki[2] (wife; deceased)","","","","","Fruit store vendor (formerly)","","","","Earth Kingdom","""The Earth Queen"" (photograph)","",""
"https://avatar.fandom.com/wiki/Saiful","","Saiful","Eastern Peninsula, Earth Kingdom","Earth Kingdom","","","296 BG (according to Jianzhu)","""Bright""[1]","","","Man","","Hui","Jianzhu","Dao (single-edged sword)","","GuardMercenary","","","","","""Conclusions"" (only appearance)","",""
"https://avatar.fandom.com/wiki/Ryu%27s_mother","https://static.wikia.nocookie.net/avatar/images/a/a9/Ryu%27s_mother.png/revision/latest?cb=20141128145135","Ryu's mother","Earth Kingdom","Earth Kingdom","","","","","Black","","Woman","Her husband","Avatar","","","","Housewife","","","","","""Rebirth""","","Maria Bamford"
"https://avatar.fandom.com/wiki/Ryu","https://static.wikia.nocookie.net/avatar/images/d/d1/Ryu.png/revision/latest?cb=20140730142806","Ryu","Earth Kingdom","Earth Kingdom","22 in Book Three: Change25 in Book Four: Balance","149 AG","","","Black (mostly dyed blond)","","Man","","Air Nation","","Air","","","","","","","""Rebirth""","","Jon Heder"
"https://avatar.fandom.com/wiki/Ru","https://static.wikia.nocookie.net/avatar/images/f/fb/Ru.png/revision/latest?cb=20200418215951","Ru","Ba Sing Se, Earth Kingdom","Earth Kingdom","","","","Green","Brown","Light","Woman","","Team Avatar","Liling","","","","","","","","Imbalance Part One","",""
"https://avatar.fandom.com/wiki/Royal_messenger","https://static.wikia.nocookie.net/avatar/images/8/85/Royal_messenger.png/revision/latest?cb=20140510204457","Royal messenger","Ba Sing Se, Earth Kingdom","Earth Kingdom","","","","","Black","","Man","","Earth King","Fire Nation","","","Messenger","","","","","""City of Walls and Secrets""","",""
"https://avatar.fandom.com/wiki/Rose","","Rose","Fire Nation colonies","Earth Kingdom, Fire Nation","Teenager (in c. 102 AG)","","","","","","Woman","Hua (girlfriend)","","","","","Philosophy student","","","","","Avatar Legends: The Roleplaying Game - Core Book (only appearance)","",""
"https://avatar.fandom.com/wiki/Rin","","Rin","Earth Kingdom","Earth Kingdom","","","","","","","Woman","","Kyoshi","","","","Servant","","","","","""Desperate Measures""","",""
